Treatment Number,Animal ID,Condition Type,Treatment Date,Treatment Time,Treatment By,Treatment Type,Treatment Subtype,Number of Days,Weight,Temperature,Visit Number,Visit Type,Visit Reason,Month,Year
T18-780295,A1044882,,9/30/2018,47:37.7,,,,1,,,T18-780291,,,SEP.2018,FY2018
T18-775551,A1044583,,9/26/2018,29:11.2,,MICROCHIP (24HR PET WATCH),,,,,T18-775546,,,SEP.2018,FY2018
T18-744637,A1041742,,8/28/2018,56:56.5,,,,1,,,T18-744633,,,AUG.2018,FY2018
T18-755944,A1039618,,9/8/2018,50:29.9,,,,1,,,T18-755942,,,SEP.2018,FY2018
T18-776903,A1044758,,9/27/2018,05:37.2,,,,1,,,T18-776882,,,SEP.2018,FY2018
T18-775590,A1044667,,9/26/2018,39:42.5,,,,1,,,T18-775584,,,SEP.2018,FY2018
T18-780167,A1044989,,9/30/2018,38:33.8,,,,1,,,T18-780164,,,SEP.2018,FY2018
T18-754947,A1041321,TREATABLE REHABILITABLE CONTAGIOUS,9/7/2018,13:48:00,AG,,,,,,T18-754947,EXAM-VISUAL,,SEP.2018,FY2018
T18-774925,A1026634,,9/25/2018,46:18.4,,,,1,,,T18-774919,,,SEP.2018,FY2018
T18-693547,A0776646,,7/16/2018,06:42.7,,,,1,,,T18-693542,,,JUL.2018,FY2018
T18-778029,A1044821,,9/28/2018,09:33.0,,MICROCHIP (24HR PET WATCH),,,,,T18-778024,,,SEP.2018,FY2018
T18-759358,A1043045,,9/11/2018,19:14.9,,,,1,,,T18-759357,,,SEP.2018,FY2018
T18-779419,A1044651,,9/29/2018,37:29.9,,,,1,,,T18-779414,,,SEP.2018,FY2018
T18-779329,A1042277,,9/29/2018,13:27.8,,,,28,,,T18-779316,,,SEP.2018,FY2018
T18-766583,A1043825,,9/18/2018,35:53.4,,,,1,,,T18-766579,,,SEP.2018,FY2018
T18-752378,A1042394,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/5/2018,11:22:00,LV,,,,1.1,101.4,T18-752378,EXAM - ADOPTION,,SEP.2018,FY2018
T18-771699,A1042786,,9/22/2018,26:27.5,,,,14,,,T18-771697,,,SEP.2018,FY2018
T18-773645,A1044405,,9/24/2018,38:43.9,,,,1,,,T18-773644,,,SEP.2018,FY2018
T18-767506,A1041629,,9/19/2018,12:36.9,,,,1,,,T18-767503,,,SEP.2018,FY2018
T18-750540,A1041948,,9/3/2018,42:46.3,,,,1,,,T18-750539,,,SEP.2018,FY2018
T18-736216,A1041091,TREATABLE REHABILITABLE CONTAGIOUS,8/21/2018,11:59:00,SR,,,,1,,T18-736216,INTAKE EXAM,,AUG.2018,FY2018
T18-759292,A1042975,,9/11/2018,51:08.8,,MICROCHIP (24HR PET WATCH),,,,,T18-759289,,,SEP.2018,FY2018
T18-777024,A1044791,,9/27/2018,56:25.4,,HEARTWORM TEST,NEGATIVE,,,,T18-777023,,,SEP.2018,FY2018
T18-758283,A1043008,UNKNOWN,9/11/2018,1:53:00,,,,,,,T18-758283,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-779716,A1044975,,9/29/2018,11:44.8,,,,1,,,T18-779708,,,SEP.2018,FY2018
T18-773521,A1044506,,9/24/2018,27:24.1,,,,1,,,T18-773518,,,SEP.2018,FY2018
T18-778135,A1043430,UNKNOWN,9/28/2018,11:45:00,,,,,,,T18-778135,VET CHECK,,SEP.2018,FY2018
T18-773893,A1044541,,9/24/2018,46:30.5,,HEARTWORM TEST,NEGATIVE,,,,T18-773885,,,SEP.2018,FY2018
T18-778458,A1044646,,9/28/2018,49:38.2,,MICROCHIP (24HR PET WATCH),,,,,T18-778457,,,SEP.2018,FY2018
T18-778713,A1044928,,9/28/2018,32:56.4,,HW MICROFILARIA TEST,POSITIVE,,,,T18-778711,,,SEP.2018,FY2018
T18-777538,A1044779,,9/27/2018,52:50.7,,,,1,,,T18-777536,,,SEP.2018,FY2018
T18-752153,A1038117,,9/5/2018,06:12.8,,,,1,,,T18-752146,,,SEP.2018,FY2018
T18-756145,A1042597,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/8/2018,17:07:00,LS,,,,8,,T18-756145,EXAM - ADOPTION,,SEP.2018,FY2018
T18-704125,A1038116,TREATABLE REHABILITABLE NON-CONTAGIOUS,7/25/2018,15:36:00,SR/AG,,,,0.5,,T18-704125,INTAKE EXAM,,JUL.2018,FY2018
T18-777376,A1044801,,9/27/2018,02:27.9,,,,1,,,T18-777374,,,SEP.2018,FY2018
T18-762595,A1043419,,9/14/2018,44:48.4,,,,1,,,T18-762589,,,SEP.2018,FY2018
T18-779311,A1024911,,9/29/2018,08:15.1,,,,1,,,T18-779308,,,SEP.2018,FY2018
T18-776718,A1044474,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,10:10:00,OB,,,,0.4,,T18-776718,EXAM - ADOPTION,,SEP.2018,FY2018
T18-777869,A1044771,UNHEALTHY UNTREATABLE CONTAGIOUS,9/27/2018,2:43:00,,,,,,,T18-777869,VET CHECK,,SEP.2018,FY2018
T18-754278,A1042589,,9/6/2018,59:53.1,,,,1,,,T18-754273,,,SEP.2018,FY2018
T18-767351,A1043558,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/19/2018,11:16:00,PA,,,,35,,T18-767351,SURGERY-,,SEP.2018,FY2018
T18-763162,A1036772,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/15/2018,9:18:00,SR/ER,,,,35,,T18-763162,EXAM - ADOPTION,,SEP.2018,FY2018
T18-780243,A1045071,,9/30/2018,23:07.1,,,,1,,,T18-780239,,,SEP.2018,FY2018
T18-780528,A1045083,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,15:24:00,AG2,,,,54.4,,T18-780528,EXAM - ADOPTION,,SEP.2018,FY2018
T18-778937,A1044940,,9/28/2018,26:43.8,,,,1,,,T18-778933,,,SEP.2018,FY2018
T18-734287,A1040858,,8/19/2018,08:36.7,,MICROCHIP (HOME AGAIN),,,,,T18-734286,,,AUG.2018,FY2018
T18-765758,A1043798,,9/17/2018,58:48.0,,,,1,,,T18-765755,,,SEP.2018,FY2018
T18-775769,A0997937,TREATABLE REHABILITABLE CONTAGIOUS,9/26/2018,12:26:00,AG,,,,50,,T18-775769,VET CHECK,,SEP.2018,FY2018
T18-756369,A1040041,TREATABLE REHABILITABLE CONTAGIOUS,9/9/2018,10:16:00,SR,,,,,,T18-756369,EXAM-VISUAL,,SEP.2018,FY2018
T18-778031,A1044853,,9/28/2018,11:53.1,,,,1,,,T18-778030,,,SEP.2018,FY2018
T18-773543,A1044499,,9/24/2018,31:28.5,,,,1,,,T18-773541,,,SEP.2018,FY2018
T18-780133,A1044905,,9/30/2018,18:01.8,,,,1,,,T18-780132,,,SEP.2018,FY2018
T17-460629,A1012968,UNKNOWN,10/31/2017,16:22:00,,,,,,,T17-460629,HEALTH MAINTENANCE,,OCT.2017,FY2018
T18-753378,A1041560,,9/6/2018,38:36.0,,,,1,,,T18-753374,,,SEP.2018,FY2018
T18-776760,A1044172,,9/27/2018,49:14.9,,,,1,,,T18-776757,,,SEP.2018,FY2018
T18-777572,A1044778,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,17:01:00,,,,,40,,T18-777572,INTAKE EXAM,,SEP.2018,FY2018
T18-777661,A1041741,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,17:35:00,LV,,,,,,T18-777661,EXAM-VISUAL,,SEP.2018,FY2018
T18-757735,A1042786,,9/10/2018,07:34.5,,,,1,,,T18-757727,,,SEP.2018,FY2018
T18-779467,A1044988,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,13:45:00,AG2/ER,,,,9,,T18-779467,INTAKE EXAM,,SEP.2018,FY2018
T18-780631,A1044935,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,16:30:00,LS,,,,,,T18-780631,EXAM,,SEP.2018,FY2018
T18-748995,A0894843,UNKNOWN,9/1/2018,17:06:00,,,,,,,T18-748995,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-778079,A1044869,,9/28/2018,29:08.5,,,,1,,,T18-778078,,,SEP.2018,FY2018
T17-462787,A1012968,HEALTHY,11/3/2017,9:40:00,PA/AR,,,,73.4,,T17-462787,EXAM - PREADOPTION,,NOV.2017,FY2018
T18-778273,A1044643,,9/28/2018,39:50.0,,,,1,,,T18-778272,,,SEP.2018,FY2018
T18-752642,A1042457,,9/5/2018,12:34.1,,,,1,,,T18-752640,,,SEP.2018,FY2018
T18-549420,A1021571,,2/19/2018,22:20.9,,,,1,,,T18-549419,,,FEB.2018,FY2018
T18-771486,A1044149,,9/22/2018,06:07.9,,MICROCHIP (24HR PET WATCH),,,,,T18-771482,,,SEP.2018,FY2018
T18-766849,A1043018,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/18/2018,16:04:00,PA,,,,48,,T18-766849,SURGERY-,,SEP.2018,FY2018
T18-774135,A1044482,,9/25/2018,29:55.6,,MICROCHIP (24HR PET WATCH),,,,,T18-774132,,,SEP.2018,FY2018
T18-775237,A1044641,,9/25/2018,55:14.3,,,,1,,,T18-775236,,,SEP.2018,FY2018
T18-772188,A1044335,,9/22/2018,53:53.7,,HEARTWORM TEST,NEGATIVE,,,,T18-772187,,,SEP.2018,FY2018
T18-744630,A1041745,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/28/2018,15:40:00,LV,,,,0.8,,T18-744630,HEALTH MAINTENANCE,,AUG.2018,FY2018
T18-778884,A1044813,UNKNOWN,9/27/2018,16:56:00,NG,,,,60,,T18-778884,VET CHECK,,SEP.2018,FY2018
T18-769026,A1044040,,9/20/2018,38:08.9,,FELV FIV COMBO,FELV & FIV NEGA,,,,T18-769013,,,SEP.2018,FY2018
T17-457786,A1012711,UNKNOWN,10/28/2017,11:23:00,ER,,,,,,T17-457786,HEALTH MAINTENANCE,,OCT.2017,FY2018
T18-770422,A1044172,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/21/2018,12:08:00,MW 1723,,,,60.8,,T18-770422,INTAKE EXAM,,SEP.2018,FY2018
T18-734231,A1040389,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/19/2018,9:08:00,LS,,,,,,T18-734231,EXAM,,AUG.2018,FY2018
T18-750742,A1042277,,9/3/2018,27:17.3,,,,1,,,T18-750738,,,SEP.2018,FY2018
T18-774451,A1044197,,9/25/2018,51:59.6,,,,3,,,T18-774438,,,SEP.2018,FY2018
T18-779737,A1045011,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,16:20:00,AG2,,,,0.9,,T18-779737,INTAKE EXAM,,SEP.2018,FY2018
T18-777144,A1043197,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,13:58:00,,,,,,,T18-777144,EXAM-VET,,SEP.2018,FY2018
T18-780113,A1045062,,9/30/2018,03:17.9,,HEARTWORM TEST,NEGATIVE,,,,T18-780110,,,SEP.2018,FY2018
T18-780603,A1045109,,9/30/2018,13:43.9,,,,1,,,T18-780592,,,SEP.2018,FY2018
T17-476550,A1014334,,11/20/2017,05:46.6,,,,1,,,T17-476549,,,NOV.2017,FY2018
T18-656542,A1033099,UNKNOWN,6/13/2018,13:35:00,ER,,,,,,T18-656542,HEALTH MAINTENANCE,,JUN.2018,FY2018
T18-771562,A1044148,,9/22/2018,38:25.2,,MICROCHIP (24HR PET WATCH),,,,,T18-771559,,,SEP.2018,FY2018
T18-779557,A1044109,UNKNOWN,9/29/2018,14:39:00,,,,,,,T18-779557,VET CHECK,,SEP.2018,FY2018
T18-777099,A1021003,,9/27/2018,28:05.3,,HEARTWORM TEST,NEGATIVE,,,,T18-777087,,,SEP.2018,FY2018
T18-775023,A1044601,,9/25/2018,00:59.9,,MICROCHIP (24HR PET WATCH),,,,,T18-775022,,,SEP.2018,FY2018
T18-773892,A1044541,,9/24/2018,46:24.6,,MICROCHIP (24HR PET WATCH),,,,,T18-773885,,,SEP.2018,FY2018
T18-752851,A1042474,,9/5/2018,17:35.4,,,,1,,,T18-752849,,,SEP.2018,FY2018
T18-772802,A1042820,,9/23/2018,04:32.9,,,,1,,,T18-772801,,,SEP.2018,FY2018
T18-776277,A1044734,,9/26/2018,54:57.8,,,,1,,,T18-776275,,,SEP.2018,FY2018
T18-736276,A1041092,,8/21/2018,16:39.6,,,,14,,,T18-736267,,,AUG.2018,FY2018
T18-757383,A1042902,,9/10/2018,43:29.5,,,,1,,,T18-757380,,,SEP.2018,FY2018
T18-564422,A1023378,,3/7/2018,56:27.8,,,,1,,,T18-564419,,,MAR.2018,FY2018
T18-776730,A1044476,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,10:10:00,OB,,,,0.4,,T18-776730,EXAM - ADOPTION,,SEP.2018,FY2018
T18-770710,A1044173,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/21/2018,14:25:00,NG,,,,36,,T18-770710,EXAM - ADOPTION,,SEP.2018,FY2018
T18-778849,A1043895,TREATABLE REHABILITABLE CONTAGIOUS,9/28/2018,17:29:00,LV,,,,14,,T18-778849,MEDICAL REVIEW,,SEP.2018,FY2018
T18-778421,A1044908,,9/28/2018,34:48.3,,,,1,,,T18-778413,,,SEP.2018,FY2018
T18-776005,A1038117,,9/26/2018,57:32.0,,,,1,,,T18-775999,,,SEP.2018,FY2018
T18-763232,A1043419,,9/15/2018,47:34.7,,,,1,,,T18-763229,,,SEP.2018,FY2018
T18-770485,A1043701,,9/21/2018,39:38.3,,,,1,,,T18-770482,,,SEP.2018,FY2018
T18-777226,A1043197,,9/27/2018,57:26.8,,,,1,,,T18-777225,,,SEP.2018,FY2018
T18-573609,A1023787,,3/19/2018,48:04.0,,,,1,,,T18-573602,,,MAR.2018,FY2018
T18-774803,A1044612,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/25/2018,14:11:00,CBM,,,,,,T18-774803,INTAKE EXAM,,SEP.2018,FY2018
T18-758144,A1042975,,9/10/2018,33:51.1,,,,1,,,T18-758037,,,SEP.2018,FY2018
T18-779535,A1044998,,9/29/2018,24:21.1,,,,1,,,T18-779529,,,SEP.2018,FY2018
T18-773917,A1044529,,9/24/2018,51:07.7,,,,1,,,T18-773915,,,SEP.2018,FY2018
T18-763491,A1042973,,9/15/2018,33:09.7,,,,1,,,T18-763486,,,SEP.2018,FY2018
T18-538565,A1021003,,2/6/2018,35:38.9,,,,1,,,T18-538562,,,FEB.2018,FY2018
T18-776263,A1044665,,9/26/2018,48:52.0,,HEARTWORM TEST,HIGH POSITIVE,,,,T18-776260,,,SEP.2018,FY2018
T18-774420,A1044595,,9/25/2018,47:00.8,,,,1,,,T18-774419,,,SEP.2018,FY2018
T18-778576,A1042355,,9/28/2018,04:57.2,,,,1,,,T18-778575,,,SEP.2018,FY2018
T18-614825,A1028950,,5/5/2018,28:55.0,,,,1,,,T18-614823,,,MAY.2018,FY2018
T18-778568,A0981333,,9/28/2018,58:30.2,,,,1,,,T18-778562,,,SEP.2018,FY2018
T18-773390,A1044407,,9/24/2018,05:05.3,,,,1,,,T18-773388,,,SEP.2018,FY2018
T18-639504,A1023178,TREATABLE REHABILITABLE NON-CONTAGIOUS,5/29/2018,9:37:00,AG,,,,15,,T18-639504,EXAM-VET,,MAY.2018,FY2018
T18-770487,A1043701,,9/21/2018,39:52.7,,,,1,,,T18-770482,,,SEP.2018,FY2018
T18-752386,A1042394,,9/5/2018,06:36.2,,,,1,,,T18-752378,,,SEP.2018,FY2018
T18-762222,A1043421,,9/14/2018,58:49.0,,,,1,,,T18-762221,,,SEP.2018,FY2018
T18-774726,A1044583,,9/25/2018,43:45.5,,,,1,,,T18-774722,,,SEP.2018,FY2018
T18-780222,A1045043,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,12:08:00,AG2,,,,34.7,,T18-780222,EXAM - ADOPTION,,SEP.2018,FY2018
T18-776728,A1044475,,9/27/2018,16:10.1,,,,3,,,T18-776727,,,SEP.2018,FY2018
T18-775460,A1043892,,9/26/2018,58:58.7,,,,14,,,T18-775456,,,SEP.2018,FY2018
T18-743114,A1041628,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/27/2018,12:29:00,SR,,,,1.2,,T18-743114,HEALTH MAINTENANCE,,AUG.2018,FY2018
T18-778084,A1044784,,9/28/2018,30:00.3,,,,1,,,T18-778075,,,SEP.2018,FY2018
T18-625907,A1029973,,5/16/2018,05:30.9,,,,1,,,T18-625905,,,MAY.2018,FY2018
T18-770488,A1043701,,9/21/2018,39:59.9,,,,3,,,T18-770482,,,SEP.2018,FY2018
T17-469476,A1014087,,11/11/2017,22:01.5,,,,1,,,T17-469473,,,NOV.2017,FY2018
T18-772150,A1044310,,9/22/2018,31:59.2,,,,1,,,T18-772145,,,SEP.2018,FY2018
T18-768024,A1043729,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/19/2018,15:39:00,,,,,18,100.52,T18-768024,EXAM-VET,,SEP.2018,FY2018
T18-733177,A1040765,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/18/2018,10:42:00,NG,,,,40,,T18-733177,INTAKE EXAM,,AUG.2018,FY2018
T18-759672,A1043150,,9/12/2018,44:10.9,,,,1,,,T18-759668,,,SEP.2018,FY2018
T18-776327,A1044730,,9/26/2018,17:03.0,,,,1,,,T18-776318,,,SEP.2018,FY2018
T18-777056,A1044793,,9/27/2018,10:33.1,,,,1,,,T18-777055,,,SEP.2018,FY2018
T18-773823,A1042376,TREATABLE MANAGEABLE NON-CONTAGIOUS,9/24/2018,16:14:00,AR,,,,0,0,T18-773823,VET CHECK,,SEP.2018,FY2018
T18-779546,A1042211,,9/29/2018,33:35.5,,,,1,,,T18-779543,,,SEP.2018,FY2018
T18-769195,A1041745,TREATABLE REHABILITABLE CONTAGIOUS,9/20/2018,13:42:00,AG,,,,,,T18-769195,EXAM-VET,,SEP.2018,FY2018
T18-578724,A1024911,,3/24/2018,18:28.9,,,,1,,,T18-578721,,,MAR.2018,FY2018
T18-757481,A1042897,TREATABLE REHABILITABLE CONTAGIOUS,9/10/2018,12:49:00,SR,,,,,,T18-757481,MEDICAL REVIEW,,SEP.2018,FY2018
T18-709326,A1038637,,7/30/2018,45:14.7,,,,1,,,T18-709323,,,JUL.2018,FY2018
T18-779413,A1044979,,9/29/2018,35:24.0,,,,1,,,T18-779400,,,SEP.2018,FY2018
T18-776499,A1044760,,9/26/2018,56:41.8,,,,1,,,T18-776498,,,SEP.2018,FY2018
T18-755956,A1039615,,9/8/2018,57:40.0,,MICROCHIP (HOME AGAIN),,,,,T18-755955,,,SEP.2018,FY2018
T18-778076,A1044784,,9/28/2018,27:35.1,,HW MICROFILARIA TEST,NEGATIVE,,,,T18-778075,,,SEP.2018,FY2018
T18-768037,A1043995,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/19/2018,15:47:00,MM1748,,,,13.2,,T18-768037,INTAKE EXAM,,SEP.2018,FY2018
T18-780363,A1045048,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,14:08:00,LS,,,,61.2,,T18-780363,EXAM - ADOPTION,,SEP.2018,FY2018
T18-779092,A1044729,,9/29/2018,36:35.3,,,,1,,,T18-779088,,,SEP.2018,FY2018
T18-718884,A1038117,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/7/2018,13:14:00,LV,,,,,,T18-718884,MEDICAL REVIEW,,AUG.2018,FY2018
T18-733113,A1038116,TREATABLE REHABILITABLE CONTAGIOUS,8/18/2018,10:07:00,OB,,,,,,T18-733113,EXAM-VISUAL,,AUG.2018,FY2018
T18-542032,A0867191,TREATABLE REHABILITABLE NON-CONTAGIOUS,2/10/2018,8:35:00,,,,,23.8,,T18-542032,INTAKE EXAM,NORMAL,FEB.2018,FY2018
T18-771812,A1039618,,9/22/2018,07:39.2,,,,1,,,T18-771811,,,SEP.2018,FY2018
T18-767194,A1043839,,9/19/2018,52:04.6,,HEARTWORM TEST,NEGATIVE,,,,T18-767192,,,SEP.2018,FY2018
T18-770797,A1044171,UNKNOWN,9/21/2018,15:15:00,,,,,,,T18-770797,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-765961,A1042589,TREATABLE REHABILITABLE CONTAGIOUS,9/18/2018,10:50:00,AG,,,,75.5,,T18-765961,MEDICAL REVIEW,,SEP.2018,FY2018
T18-771555,A1044275,,9/22/2018,35:28.9,,,,1,,,T18-771550,,,SEP.2018,FY2018
T17-457784,A1012711,,10/28/2017,24:51.7,,,,1,,,T17-457780,,,OCT.2017,FY2018
T18-759904,A1040858,UNKNOWN,9/12/2018,13:02:00,AG,,,,,,T18-759904,EXAM-VET,,SEP.2018,FY2018
T18-757476,A1042897,,9/10/2018,50:49.6,,,,1,,,T18-757471,,,SEP.2018,FY2018
T18-771794,A1040044,,9/22/2018,59:03.8,,,,1,,,T18-771793,,,SEP.2018,FY2018
T18-767702,A1042683,UNKNOWN,9/19/2018,13:13:00,OB,,,,,,T18-767702,VET CHECK,,SEP.2018,FY2018
T18-769036,A1043892,,9/20/2018,42:50.5,,,,1,,,T18-769032,,,SEP.2018,FY2018
T18-776010,A1038117,,9/26/2018,57:59.7,,,,1,,,T18-775999,,,SEP.2018,FY2018
T18-780754,A1045119,,9/30/2018,25:48.6,,,,1,,,T18-780751,,,SEP.2018,FY2018
T18-764461,A1042065,,9/16/2018,47:43.8,,,,1,,,T18-764460,,,SEP.2018,FY2018
T18-780750,A1045118,,9/30/2018,24:14.3,,,,1,,,T18-780744,,,SEP.2018,FY2018
T18-760206,A1043177,,9/12/2018,47:10.3,,,,1,,,T18-760198,,,SEP.2018,FY2018
T18-778311,A1044642,,9/28/2018,01:13.7,,,,1,,,T18-778293,,,SEP.2018,FY2018
T18-776172,A1028950,,9/26/2018,37:01.0,,HEARTWORM TEST,NEGATIVE,,,,T18-776168,,,SEP.2018,FY2018
T18-780771,A1045124,,9/30/2018,27:44.8,,,,1,,,T18-780770,,,SEP.2018,FY2018
T18-768641,A1041989,,9/18/2018,11:32.9,,,,14,,,T18-766311,,,SEP.2018,FY2018
T18-741937,A1041513,,8/25/2018,03:10.9,,,,3,,,T18-741933,,,AUG.2018,FY2018
T18-636926,A1029973,TREATABLE REHABILITABLE CONTAGIOUS,5/26/2018,9:43:00,AG,,,,,,T18-636926,MEDICAL REVIEW,,MAY.2018,FY2018
T18-758034,A1042967,,9/10/2018,10:06.1,,,,1,,,T18-758024,,,SEP.2018,FY2018
T18-564424,A1023378,,3/7/2018,56:35.3,,,,1,,,T18-564419,,,MAR.2018,FY2018
T18-776279,A1044734,,9/26/2018,55:12.4,,,,1,,,T18-776275,,,SEP.2018,FY2018
T18-743097,A1041626,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/27/2018,12:29:00,SR,,,,1.2,,T18-743097,INTAKE EXAM,,AUG.2018,FY2018
T18-709478,A1038656,TREATABLE REHABILITABLE NON-CONTAGIOUS,7/30/2018,14:04:00,ER,,,,,,T18-709478,EXAM-VISUAL,,JUL.2018,FY2018
T17-439692,A1009144,TREATABLE REHABILITABLE NON-CONTAGIOUS,10/7/2017,11:35:00,AVS,,,,1.5,101.3,T17-439692,EXAM,GI,OCT.2017,FY2018
T18-775877,A1044109,,9/26/2018,29:25.1,,,,1,,,T18-775875,,,SEP.2018,FY2018
T18-780008,A0943238,,9/29/2018,54:45.6,,,,1,,,T18-780005,,,SEP.2018,FY2018
T18-775985,A1044667,,9/26/2018,53:50.3,,,,1,,,T18-775981,,,SEP.2018,FY2018
T18-782035,A1044921,,9/30/2018,31:43.4,,,,1,,,T18-781041,,,SEP.2018,FY2018
T18-777899,A1044481,,9/28/2018,37:13.2,,,,1,,,T18-777894,,,SEP.2018,FY2018
T18-775614,A1044643,,9/26/2018,49:47.9,,MICROCHIP (24HR PET WATCH),,,,,T18-775610,,,SEP.2018,FY2018
T18-765995,A1039622,,9/18/2018,01:59.0,,,,1,,,T18-765994,,,SEP.2018,FY2018
T18-776431,A1044585,,9/25/2018,32:26.9,,,,1,,,T18-774213,,,SEP.2018,FY2018
T18-774658,A1044605,,9/25/2018,28:41.8,,MICROCHIP (24HR PET WATCH),,,,,T18-774652,,,SEP.2018,FY2018
T18-742730,A1041593,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/27/2018,9:31:00,SR,,,,47.8,,T18-742730,HEALTH MAINTENANCE,,AUG.2018,FY2018
T18-771932,A1044307,,9/22/2018,11:51.3,,,,1,,,T18-771929,,,SEP.2018,FY2018
T18-778435,A1044528,,9/28/2018,38:28.3,,,,1,,,T18-778431,,,SEP.2018,FY2018
T18-772702,A1044405,,9/23/2018,58:07.1,,HEARTWORM TEST,NEGATIVE,,,,T18-772697,,,SEP.2018,FY2018
T18-776798,A1042597,UNKNOWN,9/27/2018,11:11:00,,,,,,,T18-776798,VET CHECK,,SEP.2018,FY2018
T18-778823,A1044839,,9/28/2018,07:34.9,,,,1,,,T18-778822,,,SEP.2018,FY2018
T18-770004,A0962783,,9/20/2018,01:57.8,,,,1,,,T18-770000,,,SEP.2018,FY2018
T18-779402,A1044979,,9/29/2018,34:51.2,,HEARTWORM TEST,NEGATIVE,,,,T18-779400,,,SEP.2018,FY2018
T18-778086,A1044822,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,11:30:00,NG/AG2/ER,,,,8.4,,T18-778086,EXAM - ADOPTION,,SEP.2018,FY2018
T18-769929,A1044140,,9/20/2018,16:01.7,,,,1,,,T18-769927,,,SEP.2018,FY2018
T18-759357,A1043045,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/11/2018,17:18:00,LS,,,,53.8,,T18-759357,EXAM - ADOPTION,,SEP.2018,FY2018
T18-780880,A1044981,,9/29/2018,11:47.8,,HEARTWORM TEST,NEGATIVE,,,,T18-779265,,,SEP.2018,FY2018
T18-775748,A1043681,TREATABLE REHABILITABLE CONTAGIOUS,9/26/2018,12:22:00,AG,,,,,,T18-775748,VET CHECK,,SEP.2018,FY2018
T18-743843,A1041663,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/28/2018,9:21:00,SR,,,,57.6,,T18-743843,EXAM - ADOPTION,,AUG.2018,FY2018
T18-647516,A1012968,,6/5/2018,37:52.9,,,,1,,,T18-646716,,,JUN.2018,FY2018
T18-772493,A1044362,,9/23/2018,35:25.0,,HEARTWORM TEST,NEGATIVE,,,,T18-772490,,,SEP.2018,FY2018
T18-772108,A1044273,,9/22/2018,19:32.6,,,,1,,,T18-772107,,,SEP.2018,FY2018
T18-778729,A1044929,,9/28/2018,38:04.6,,,,1,,,T18-778722,,,SEP.2018,FY2018
T18-762539,A1043418,,9/14/2018,13:19.0,,,,1,,,T18-762537,,,SEP.2018,FY2018
T18-776231,A1044513,UNKNOWN,9/26/2018,17:02:00,SR,,,,,,T18-776231,SURGERY-,,SEP.2018,FY2018
T18-770393,A1044173,,9/21/2018,58:12.2,,,,1,,,T18-770388,,,SEP.2018,FY2018
T18-779830,A1045043,,9/29/2018,05:58.8,,,,1,,,T18-779827,,,SEP.2018,FY2018
T18-747423,A1041989,,8/31/2018,22:30.3,,,,1,,,T18-747421,,,AUG.2018,FY2018
T18-752077,A1042394,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/5/2018,10:25:00,,,,,,,T18-752077,VET CHECK,,SEP.2018,FY2018
T18-777501,A1044788,,9/27/2018,46:37.6,,,,1,,,T18-777492,,,SEP.2018,FY2018
T18-771503,A1044256,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,12:11:00,NG/ER,,,,55,,T18-771503,EXAM - ADOPTION,,SEP.2018,FY2018
T18-760222,A1009144,,9/12/2018,55:03.7,,FELV FIV COMBO,FELV & FIV NEGA,,,,T18-760221,,,SEP.2018,FY2018
